Países,Fecha,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1
España [+],2011,743.043,,1.034.101,,"69,50%",15.871 €,22.088 $
Alemania [+],2011,2.155.876,,3.000.355,,"78,50%",26.838 €,37.351 $
Reino Unido [+],2011,1.589.482,,2.169.749,,"80,00%",25.033 €,34.172 $
Francia [+],2011,1.830.136,,2.546.969,,"88,70%",28.036 €,39.018 $
Italia [+],2011,1.974.408,,2.747.788,,"119,10%",32.849 €,45.716 $
Portugal [+],2011,201.044,,279.796,,"114,00%",19.040 €,26.498 $
Estados Unidos [+],2011,11.212.081,,15.603.965,,"100,03%",35.975 €,50.067 $
Japón [+],2011,8.598.289,,11.966.324,,"190,56%",67.263 €,93.611 $
China [+],2011,1.818.920,,2.531.409,,"33,18%",1.350 €,1.879 $
Andorra [+],2011,951,,1.322,,"36,49%",13.636 €,18.952 $
Emiratos Árabes Unidos [+],2011,54.090,,75.278,,"20,41%",7.467 €,10.392 $
Afganistán [+],2011,964,,1.342,,"7,50%",33 €,46 $
Antigua y Barbuda [+],2011,750,,1.044,,"81,13%",8.724 €,12.141 $
Albania [+],2011,5.507,,7.664,,"59,41%",1.897 €,2.640 $
Armenia [+],2011,3.077,,4.282,,"42,22%",940 €,1.308 $
Angola [+],2011,23.742,,33.043,,"26,32%",980 €,1.364 $
Argentina [+],2011,147.615,,205.437,,"38,94%",3.578 €,4.979 $
Austria [+],2011,256.876,,357.497,,"83,40%",30.551 €,42.518 $
Australia [+],2011,261.789,,364.335,,"23,96%",11.624 €,16.177 $
Azerbaiyán [+],2011,2.354,,3.276,,"4,97%",255 €,355 $
Bosnia y Herzegovina [+],2011,5.491,,7.641,,"40,94%",1.430 €,1.990 $
Barbados [+],2011,3.760,,5.233,,"94,39%",13.381 €,18.623 $
Bangladés [+],2011,32.545,,45.294,,"29,39%",218 €,303 $
Bélgica [+],2011,389.536,,541.524,,"102,80%",35.170 €,48.892 $
Burkina Faso [+],2011,2.127,,2.960,,"24,50%",128 €,178 $
Bulgaria [+],2011,6.285,,8.275,,"15,20%",858 €,1.129 $
Baréin [+],2011,6.782,,9.439,,"31,55%",5.675 €,7.899 $
Burundi [+],2011,686,,955,,"42,71%",71 €,98 $
Benin [+],2011,1.679,,2.337,,"21,86%",166 €,232 $
Brunéi [+],2011,283,,394,,"2,13%",721 €,1.003 $
Bolivia [+],2011,6.126,,8.526,,"30,54%",592 €,824 $
Brasil [+],2011,1.138.874,,1.584.982,,"60,63%",5.806 €,8.080 $
Bahamas [+],2011,2.555,,3.556,,"35,26%",7.198 €,10.017 $
Bután [+],2011,842,,1.172,,"62,33%",1.193 €,1.660 $
Botsuana [+],2011,3.050,,4.245,,"27,89%",1.471 €,2.047 $
Bielorrusia [+],2011,25.674,,35.730,,"58,22%",2.712 €,3.775 $
Belice [+],2011,872,,1.213,,"66,22%",2.658 €,3.699 $
Canadá [+],2011,1.086.066,,1.511.488,,"84,28%",31.628 €,44.016 $
República Democrática del Congo [+],2011,1.483,,2.063,,"7,81%",22 €,30 $
República Centroafricana [+],2011,345,,480,,"19,69%",76 €,106 $
República del Congo [+],2011,3.868,,5.383,,"34,39%",844 €,1.174 $
Suiza [+],2011,215.435,,299.823,,"41,24%",27.083 €,37.691 $
Costa de Marfil [+],2011,12.772,,17.775,,"50,03%",576 €,802 $
Chile [+],2011,20.086,,27.954,,"11,13%",1.167 €,1.625 $
Camerún [+],2011,3.491,,4.859,,"15,86%",173 €,240 $
Colombia [+],2011,86.126,,119.863,,"35,78%",1.933 €,2.690 $
Costa Rica [+],2011,9.068,,12.620,,"29,51%",1.966 €,2.736 $
Cabo Verde [+],2011,1.053,,1.465,,"71,56%",2.188 €,3.045 $
Chipre [+],2011,13.877,,17.910,,"69,90%",16.099 €,20.777 $
Chequia [+],2011,62.576,,91.188,,"39,40%",5.957 €,8.680 $
Yibuti [+],2011,321,,447,,"25,68%",376 €,523 $
Dinamarca [+],2011,124.292,,172.111,,"50,00%",22.272 €,30.841 $
