Países,Tasa de desempleo,Tasa de desempleo.1,Var.,Var. Año,Mes
España [+],"22,9%",,030,250,Diciembre 2011
Alemania [+],"5,2%",,0,-090,Diciembre 2011
Reino Unido [+],"8,3%",,-010,040,Diciembre 2011
Francia [+],"9,4%",,0,020,Diciembre 2011
Italia [+],"9,7%",,030,150,Diciembre 2011
Portugal [+],"15,2%",,050,240,Diciembre 2011
Zona Euro [+],"10,7%",,010,060,Diciembre 2011
Estados Unidos [+],"8,5%",,-010,-080,Diciembre 2011
Japón [+],"4,5%",,0,-040,Diciembre 2011
Argentina [+],"6,7%",,-050,-060,Diciembre 2011
Austria [+],"5,1%",,-020,030,Diciembre 2011
Australia [+],"5,2%",,-003,032,Diciembre 2011
Bélgica [+],"7,1%",,-010,-060,Diciembre 2011
Bulgaria [+],"12,9%",,040,030,Diciembre 2011
Canadá [+],"7,5%",,-010,-030,Diciembre 2011
Suiza [+],"4,6%",,0,020,Diciembre 2011
Chile [+],"6,9%",,004,-059,Diciembre 2011
Colombia [+],"10,1%",,057,-116,Diciembre 2011
Chipre [+],"9,6%",,0,360,Diciembre 2011
Chequia [+],"6,5%",,-010,-030,Diciembre 2011
Dinamarca [+],"7,9%",,-020,-030,Diciembre 2011
Estonia [+],"10,8%",,-040,-340,Diciembre 2011
Finlandia [+],"8,1%",,080,-050,Diciembre 2011
Grecia [+],"21,3%",,050,640,Diciembre 2011
Croacia [+],"14,2%",,030,140,Diciembre 2011
Hungría [+],"10,9%",,050,0,Diciembre 2011
Irlanda [+],"16,1%",,030,050,Diciembre 2011
Islandia [+],"7,6%",,-010,-120,Diciembre 2011
Lituania [+],"13,5%",,0,-390,Diciembre 2011
Luxemburgo [+],"5,9%",,020,0,Diciembre 2011
Letonia [+],"15,3%",,0,-220,Diciembre 2011
Macedonia del Norte [+],"31,1%",,0,-010,Diciembre 2011
Malta [+],"6,5%",,010,-030,Diciembre 2011
México [+],"4,5%",,-047,-042,Diciembre 2011
Países Bajos [+],"6,5%",,-010,060,Diciembre 2011
Noruega [+],"3,6%",,0,-070,Diciembre 2011
Polonia [+],"10,2%",,0,040,Diciembre 2011
Rumanía [+],"9,4%",,010,070,Diciembre 2011
Suecia [+],"7,9%",,010,-030,Diciembre 2011
Eslovenia [+],"8,6%",,-020,060,Diciembre 2011
Eslovaquia [+],"13,9%",,010,020,Diciembre 2011
Türkiye [+],"8,5%",,010,-160,Diciembre 2011
Uruguay [+],"5,6%",,-025,-011,Diciembre 2011
Venezuela [+],"6,5%",,030,0,Diciembre 2011
Sudáfrica [+],"23,8%",,0,-010,Diciembre 2011
< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >
