Países,Fecha,PIB anual,PIB anual.1,PIB anual.2,PIB anual.3,Var. PIB (%),Var. PIB (%).1
España [+],2010,1.077.145 M€,,1.427.989 M$,,"0,1%",
Alemania [+],2010,2.615.260 M€,,3.467.094 M$,,"4,1%",
Reino Unido [+],2010,1.872.176 M€,,2.496.741 M$,,"2,1%",
Francia [+],2010,1.996.075 M€,,2.646.230 M$,,"2,0%",
Italia [+],2010,1.617.945 M€,,2.144.936 M$,,"1,5%",
Portugal [+],2010,179.860 M€,,238.444 M$,,"1,7%",
Zona Euro [+],2010,9.538.992 M€,,12.784.745 M$,,"2,1%",
Estados Unidos [+],2010,11.342.317 M€,,15.049.000 M$,,"2,7%",
Japón [+],2010,4.149.900 M€,,5.811.578 M$,,"4,7%",
China [+],2010,4.626.833 M€,,6.192.565 M$,,"10,6%",
Andorra [+],2010,2.602 M€,,3.446 M$,,"-2,0%",
Emiratos Árabes Unidos [+],2010,231.939 M€,,307.736 M$,,"7,9%",
Afganistán [+],2010,11.550 M€,,15.325 M$,,"8,4%",
Antigua y Barbuda [+],2010,978 M€,,1.298 M$,,"-7,8%",
Albania [+],2010,9.162 M€,,12.087 M$,,"3,0%",
Armenia [+],2010,6.979 M€,,9.260 M$,,"2,2%",
Angola [+],2010,72.013 M€,,95.547 M$,,"5,3%",
Argentina [+],2010,320.116 M€,,426.487 M$,,"10,1%",
Austria [+],2010,294.051 M€,,389.828 M$,,"1,8%",
Australia [+],2010,948.486 M€,,1.305.268 M$,,"2,4%",
Azerbaiyán [+],2010,39.877 M€,,52.909 M$,,"5,0%",
Bosnia y Herzegovina [+],2010,12.969 M€,,17.207 M$,,"0,9%",
Barbados [+],2010,4.092 M€,,5.429 M$,,"-2,2%",
Bangladés [+],2010,104.081 M€,,138.094 M$,,"5,6%",
Bélgica [+],2010,363.242 M€,,481.557 M$,,"2,7%",
Burkina Faso [+],2010,7.626 M€,,10.118 M$,,"8,4%",
Bulgaria [+],2010,38.289 M€,,50.689 M$,,"1,6%",
Baréin [+],2010,20.204 M€,,26.806 M$,,"4,3%",
Burundi [+],2010,1.532 M€,,2.032 M$,,"5,1%",
