Países,Fecha,PIB Per Capita,PIB Per Capita.1,PIB Per Capita.2,PIB Per Capita.3,Var. anual PIB Per Capita,Var. anual PIB Per Capita.1,Var. anual PIB Per Capita.2,Var. anual PIB Per Capita.3
España [+],2010,23.130 €,,30.624 $,,"0,0%",,"-4,8%",
Alemania [+],2010,32.580 €,,43.220 $,,"5,1%",,"0,1%",
Reino Unido [+],2010,29.830 €,,39.821 $,,"6,8%",,"1,7%",
Francia [+],2010,30.830 €,,40.989 $,,"2,6%",,"-2,3%",
Italia [+],2010,27.050 €,,35.964 $,,"1,7%",,"-3,2%",
Portugal [+],2010,17.010 €,,22.570 $,,"2,5%",,"-2,4%",
Zona Euro [+],2010,29.070 €,,38.512 $,,"2,5%",,"-2,6%",
Estados Unidos [+],2010,36.619 €,,48.586 $,,"8,3%",,"3,2%",
Japón [+],2010,32.400 €,,45.547 $,,"14,5%",,"8,9%",
China [+],2010,3.451 €,,4.578 $,,"23,9%",,"18,0%",
Andorra [+],2010,37.023 €,,49.030 $,,"3,0%",,"-1,8%",
Emiratos Árabes Unidos [+],2010,33.298 €,,44.180 $,,"24,0%",,"18,0%",
Afganistán [+],2010,410 €,,544 $,,"29,6%",,"23,4%",
Antigua y Barbuda [+],2010,11.564 €,,15.343 $,,"-2,8%",,"-7,5%",
Albania [+],2010,3.150 €,,4.098 $,,"3,3%",,"-0,4%",
Armenia [+],2010,2.311 €,,3.066 $,,"13,1%",,"7,7%",
Angola [+],2010,3.091 €,,4.102 $,,"18,2%",,"12,5%",
Argentina [+],2010,7.848 €,,10.413 $,,"31,1%",,"24,9%",
Austria [+],2010,35.170 €,,46.662 $,,"2,5%",,"-2,4%",
Australia [+],2010,42.778 €,,56.757 $,,"29,8%",,"23,6%",
Azerbaiyán [+],2010,4.432 €,,5.881 $,,"24,4%",,"18,4%",
Bosnia y Herzegovina [+],2010,3.660 €,,4.646 $,,"7,8%",,"-1,8%",
Barbados [+],2010,14.635 €,,19.418 $,,"6,1%",,"1,1%",
Bangladés [+],2010,705 €,,936 $,,"16,8%",,"11,2%",
Bélgica [+],2010,33.340 €,,44.461 $,,"3,5%",,"-1,3%",
Burkina Faso [+],2010,471 €,,625 $,,"9,3%",,"4,1%",
Bulgaria [+],2010,5.080 €,,6.769 $,,"3,0%",,"-1,8%",
Baréin [+],2010,16.445 €,,21.819 $,,"12,9%",,"7,5%",
Burundi [+],2010,163 €,,217 $,,"14,7%",,"9,2%",
Benin [+],2010,734 €,,974 $,,"0,0%",,"-4,8%",
Brunéi [+],2010,26.716 €,,35.446 $,,"19,0%",,"13,3%",
Bolivia [+],2010,1.680 €,,2.229 $,,"16,8%",,"11,2%",
Brasil [+],2010,8.548 €,,11.341 $,,"37,8%",,"31,3%",
Bahamas [+],2010,21.650 €,,28.725 $,,"4,8%",,"-0,2%",
Bután [+],2010,1.651 €,,2.191 $,,"24,8%",,"18,8%",
Botsuana [+],2010,4.685 €,,6.216 $,,"28,4%",,"22,3%",
Bielorrusia [+],2010,4.547 €,,6.033 $,,"18,4%",,"12,8%",
Belice [+],2010,4.088 €,,5.424 $,,"6,3%",,"1,2%",
Canadá [+],2010,35.895 €,,47.626 $,,"22,0%",,"16,2%",
República Democrática del Congo [+],2010,255 €,,339 $,,"21,9%",,"16,1%",
República Centroafricana [+],2010,363 €,,482 $,,"12,9%",,"7,6%",
República del Congo [+],2010,2.235 €,,2.965 $,,"36,5%",,"30,0%",
Suiza [+],2010,58.790 €,,78.279 $,,"12,6%",,"7,0%",
Costa de Marfil [+],2010,1.204 €,,1.598 $,,"4,3%",,"-0,7%",
Chile [+],2010,9.608 €,,12.748 $,,"31,3%",,"25,1%",
Camerún [+],2010,1.055 €,,1.400 $,,"0,7%",,"-4,1%",
Colombia [+],2010,4.898 €,,6.499 $,,"28,0%",,"21,9%",
Costa Rica [+],2010,6.232 €,,8.269 $,,"26,2%",,"20,2%",
Cuba [+],2010,3.977 €,,5.272 $,,"9,0%",,"3,6%",
Cabo Verde [+],2010,2.878 €,,3.819 $,,"2,3%",,"-2,6%",
Chipre [+],2010,23.460 €,,31.522 $,,"1,5%",,"-3,5%",
Chequia [+],2010,15.170 €,,20.184 $,,"6,6%",,"1,6%",
Yibuti [+],2010,1.385 €,,1.837 $,,"12,0%",,"6,7%",
Dinamarca [+],2010,43.880 €,,58.240 $,,"4,3%",,"-0,5%",
Dominica [+],2010,5.262 €,,6.981 $,,"6,2%",,"1,1%",
República Dominicana [+],2010,4.283 €,,5.683 $,,"15,9%",,"10,4%",
Argelia [+],2010,3.724 €,,4.941 $,,"21,7%",,"15,9%",
Ecuador [+],2010,3.451 €,,4.579 $,,"16,9%",,"11,4%",
Estonia [+],2010,11.060 €,,14.697 $,,"4,5%",,"-0,4%",
Egipto [+],2010,2.203 €,,2.923 $,,"19,0%",,"13,3%",
Eritrea [+],2010,378 €,,501 $,,"26,7%",,"20,7%",
Etiopía [+],2010,257 €,,341 $,,"-4,0%",,"-8,6%",
Finlandia [+],2010,35.080 €,,46.648 $,,"3,1%",,"-1,9%",
Fiyi [+],2010,3.023 €,,4.011 $,,"14,4%",,"8,9%",
Estados Federados de Micronesia [+],2010,2.137 €,,2.835 $,,"11,2%",,"5,9%",
Gabón [+],2010,6.733 €,,8.933 $,,"19,4%",,"13,7%",
Granada [+],2010,5.532 €,,7.340 $,,"5,1%",,"0,1%",
Georgia [+],2010,2.465 €,,3.270 $,,"18,8%",,"13,1%",
Ghana [+],2010,1.345 €,,1.784 $,,"25,5%",,"19,5%",
Gambia [+],2010,604 €,,801 $,,"8,6%",,"3,4%",
Guinea [+],2010,475 €,,631 $,,"3,9%",,"-1,1%",
Guinea Ecuatorial [+],2010,12.939 €,,17.167 $,,"8,7%",,"3,5%",
Grecia [+],2010,20.100 €,,26.680 $,,"-4,7%",,"-9,3%",
Guatemala [+],2010,2.157 €,,2.862 $,,"12,4%",,"7,1%",
Guinea-Bisáu [+],2010,486 €,,644 $,,"10,3%",,"5,0%",
Guyana [+],2010,2.892 €,,3.837 $,,"16,5%",,"11,0%",
Hong Kong [+],2010,24.436 €,,32.421 $,,"11,3%",,"6,0%",
Honduras [+],2010,1.427 €,,1.893 $,,"11,6%",,"6,3%",
Croacia [+],2010,10.700 €,,13.743 $,,"0,5%",,"-5,0%",
Haití [+],2010,886 €,,1.175 $,,"5,6%",,"0,6%",
Hungría [+],2010,9.960 €,,13.171 $,,"5,7%",,"1,0%",
Indonesia [+],2010,2.395 €,,3.177 $,,"35,1%",,"28,7%",
Irlanda [+],2010,36.660 €,,48.581 $,,"-1,8%",,"-6,5%",
Israel [+],2010,23.674 €,,31.410 $,,"15,8%",,"10,3%",
India [+],2010,1.016 €,,1.348 $,,"29,2%",,"23,1%",
Irak [+],2010,3.372 €,,4.474 $,,"26,9%",,"20,9%",
Irán [+],2010,6.083 €,,8.072 $,,"21,9%",,"16,1%",
Islandia [+],2010,33.410 €,,43.833 $,,"12,5%",,"6,0%",
Jamaica [+],2010,3.785 €,,5.021 $,,"14,0%",,"8,6%",
Jordania [+],2010,3.284 €,,4.357 $,,"13,0%",,"7,6%",
Kenia [+],2010,887 €,,1.176 $,,"10,0%",,"4,7%",
Kirguistán [+],2010,667 €,,885 $,,"6,0%",,"0,9%",
Camboya [+],2010,713 €,,1.025 $,,"10,8%",,"12,1%",
Kiribati [+],2010,1.213 €,,1.609 $,,"19,8%",,"14,1%",
Comoras [+],2010,1.044 €,,1.385 $,,"3,3%",,"-1,6%",
San Cristóbal y Nieves [+],2010,12.505 €,,16.592 $,,"5,5%",,"0,5%",
Corea del Norte [+],2010,421 €,,558 $,,"21,4%",,"15,4%",
Corea del Sur [+],2010,18.141 €,,23.083 $,,"26,8%",,"20,5%",
Kuwait [+],2010,29.652 €,,39.342 $,,"8,3%",,"3,1%",
Kazajistán [+],2010,6.836 €,,9.071 $,,"32,9%",,"26,6%",
Laos [+],2010,895 €,,1.187 $,,"20,7%",,"15,0%",
Líbano [+],2010,5.800 €,,7.695 $,,"13,0%",,"7,6%",
Santa Lucía [+],2010,6.540 €,,8.677 $,,"10,6%",,"5,3%",
Liechtenstein [+],2010,106.200 €,,153.152 $,,"17,5%",,"12,4%",
Sri Lanka [+],2010,2.181 €,,2.894 $,,"22,9%",,"17,1%",
Liberia [+],2010,381 €,,505 $,,"12,9%",,"7,5%",
Lesoto [+],2010,890 €,,1.180 $,,"26,8%",,"20,7%",
Lituania [+],2010,8.930 €,,11.847 $,,"4,7%",,"-0,3%",
Luxemburgo [+],2010,83.550 €,,112.049 $,,"6,6%",,"1,6%",
Letonia [+],2010,8.380 €,,11.086 $,,"-2,4%",,"-6,9%",
Libia [+],2010,8.744 €,,11.601 $,,"27,6%",,"21,5%",
Marruecos [+],2010,2.363 €,,3.135 $,,"4,1%",,"-0,9%",
Mónaco [+],2010,122.088 €,,161.854 $,,"0,7%",,"-4,3%",
Moldavia [+],2010,1.830 €,,2.428 $,,"34,9%",,"28,4%",
Montenegro [+],2010,5.040 €,,6.684 $,,"4,6%",,"-0,5%",
Madagascar [+],2010,371 €,,493 $,,"5,8%",,"0,8%",
Islas Marshall [+],2010,2.294 €,,3.043 $,,"10,5%",,"5,2%",
Macedonia del Norte [+],2010,3.650 €,,4.837 $,,"10,6%",,"0,8%",
Malí [+],2010,588 €,,780 $,,"6,2%",,"1,1%",
Myanmar [+],2010,581 €,,771 $,,"28,7%",,"22,5%",
Mongolia [+],2010,1.961 €,,2.602 $,,"61,9%",,"54,2%",
Mauritania [+],2010,1.293 €,,1.716 $,,"22,1%",,"16,3%",
Malta [+],2010,16.550 €,,21.990 $,,"8,6%",,"3,1%",
Mauricio [+],2010,6.111 €,,8.108 $,,"14,8%",,"9,3%",
Maldivas [+],2010,6.095 €,,8.087 $,,"14,0%",,"8,5%",
Malaui [+],2010,470 €,,623 $,,"14,6%",,"9,2%",
México [+],2010,7.260 €,,9.633 $,,"21,2%",,"15,4%",
Malasia [+],2010,6.819 €,,9.047 $,,"25,9%",,"19,9%",
Mozambique [+],2010,366 €,,485 $,,"-4,9%",,"-9,5%",
Namibia [+],2010,4.062 €,,5.390 $,,"30,9%",,"24,6%",
Níger [+],2010,359 €,,476 $,,"8,1%",,"3,0%",
Nigeria [+],2010,2.383 €,,3.161 $,,"26,2%",,"20,2%",
Nicaragua [+],2010,1.135 €,,1.506 $,,"9,5%",,"4,2%",
Países Bajos [+],2010,38.700 €,,51.473 $,,"1,5%",,"-3,4%",
Noruega [+],2010,67.980 €,,89.674 $,,"15,2%",,"9,8%",
Nepal [+],2010,503 €,,668 $,,"29,9%",,"23,7%",
Nauru [+],2010,3.721 €,,4.937 $,,"9,6%",,"4,4%",
Nueva Zelanda [+],2010,25.234 €,,33.481 $,,"24,1%",,"18,1%",
Omán [+],2010,16.338 €,,21.678 $,,"18,3%",,"12,7%",
Panamá [+],2010,6.222 €,,8.256 $,,"12,3%",,"6,9%",
Perú [+],2010,3.921 €,,5.202 $,,"27,1%",,"21,0%",
Papúa Nueva Guinea [+],2010,1.594 €,,2.115 $,,"21,2%",,"15,4%",
Filipinas [+],2010,1.686 €,,2.237 $,,"22,1%",,"16,3%",
Pakistán [+],2010,858 €,,1.138 $,,"7,8%",,"2,6%",
Polonia [+],2010,9.490 €,,12.574 $,,"13,9%",,"8,7%",
Estado de Palestina [+],2010,1.814 €,,2.406 $,,"22,6%",,"16,7%",
Palaos [+],2010,7.667 €,,10.173 $,,"7,1%",,"2,0%",
Paraguay [+],2010,3.607 €,,4.786 $,,"26,5%",,"20,5%",
Catar [+],2010,52.605 €,,69.796 $,,"36,2%",,"29,7%",
Rumanía [+],2010,6.340 €,,8.393 $,,"3,1%",,"-1,7%",
Serbia [+],2010,4.500 €,,5.907 $,,"-2,4%",,"-7,9%",
Rusia [+],2010,8.552 €,,11.346 $,,"31,1%",,"24,8%",
Ruanda [+],2010,456 €,,605 $,,"10,0%",,"4,7%",
Arabia Saudita [+],2010,16.603 €,,22.028 $,,"22,8%",,"16,9%",
Islas Salomón [+],2010,1.193 €,,1.583 $,,"13,8%",,"8,4%",
Seychelles [+],2010,8.126 €,,10.782 $,,"18,5%",,"12,8%",
Sudán [+],2010,1.234 €,,1.637 $,,"22,7%",,"16,9%",
Suecia [+],2010,39.710 €,,52.334 $,,"17,9%",,"12,6%",
Singapur [+],2010,35.602 €,,47.237 $,,"27,4%",,"21,3%",
Eslovenia [+],2010,17.600 €,,23.367 $,,"0,3%",,"-4,9%",
Eslovaquia [+],2010,12.660 €,,16.916 $,,"7,1%",,"2,0%",
Sierra Leona [+],2010,506 €,,671 $,,"12,4%",,"7,0%",
San Marino [+],2010,45.543 €,,60.426 $,,"-5,3%",,"-9,8%",
Senegal [+],2010,959 €,,1.273 $,,"2,2%",,"-2,7%",
Somalia [+],2010,165 €,,219 $,,"-6,4%",,"-11,1%",
Surinam [+],2010,6.583 €,,8.734 $,,"16,6%",,"11,1%",
Sudán del Sur [+],2010,1.119 €,,1.484 $,,"17,9%",,"12,2%",
Santo Tomé y Príncipe [+],2010,791 €,,1.049 $,,"-2,3%",,"-7,0%",
El Salvador [+],2010,2.291 €,,3.040 $,,"9,7%",,"4,5%",
Siria [+],2010,2.115 €,,2.807 $,,"15,3%",,"9,8%",
Eswatini [+],2010,3.163 €,,4.197 $,,"28,8%",,"22,7%",
Chad [+],2010,887 €,,1.177 $,,"16,1%",,"10,6%",
Togo [+],2010,532 €,,706 $,,"2,9%",,"-2,0%",
Tailandia [+],2010,3.749 €,,4.974 $,,"26,3%",,"20,3%",
Tayikistán [+],2010,556 €,,738 $,,"16,4%",,"10,8%",
Timor Oriental [+],2010,620 €,,823 $,,"24,3%",,"18,4%",
Turkmenistán [+],2010,3.050 €,,4.047 $,,"16,9%",,"11,3%",
Túnez [+],2010,3.235 €,,4.292 $,,"5,3%",,"0,3%",
Tonga [+],2010,2.684 €,,3.561 $,,"23,0%",,"17,1%",
Türkiye [+],2010,8.050 €,,10.706 $,,"23,8%",,"17,5%",
Trinidad y Tobago [+],2010,12.781 €,,16.957 $,,"20,5%",,"14,8%",
Tuvalu [+],2010,2.362 €,,3.134 $,,"19,2%",,"13,6%",
Taiwan [+],2010,14.457 €,,19.181 $,,"19,2%",,"13,5%",
Tanzania [+],2010,560 €,,743 $,,"11,6%",,"6,3%",
Ucrania [+],2010,2.334 €,,3.097 $,,"22,5%",,"16,6%",
Uganda [+],2010,610 €,,809 $,,"4,1%",,"-0,9%",
Uruguay [+],2010,9.756 €,,12.944 $,,"32,8%",,"26,5%",
Uzbekistán [+],2010,1.495 €,,1.984 $,,"23,1%",,"17,3%",
San Vicente y las Granadinas [+],2010,4.984 €,,6.613 $,,"5,8%",,"0,7%",
Venezuela [+],2010,8.410 €,,11.158 $,,"22,6%",,"16,7%",
Viet Nam [+],2010,1.228 €,,1.629 $,,"15,5%",,"10,0%",
Vanuatu [+],2010,2.267 €,,3.008 $,,"13,3%",,"7,9%",
Samoa [+],2010,2.758 €,,3.659 $,,"14,7%",,"9,2%",
Yemen [+],2010,871 €,,1.155 $,,"25,2%",,"19,2%",
Sudáfrica [+],2010,6.106 €,,8.102 $,,"30,5%",,"24,2%",
Zambia [+],2010,1.094 €,,1.451 $,,"34,1%",,"27,7%",
Zimbabue [+],2010,1.054 €,,1.399 $,,"25,8%",,"19,8%",
< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,,,,
