Países,Densidad,Población,Población.1,Var.,Año
España [+],92.0,46.667.175,,"0,22%",2010
Alemania [+],225.0,80.222.065,,"-1,93%",2010
Reino Unido [+],259.0,63.022.532,,"0,82%",2010
Francia [+],118.0,64.978.721,,"0,49%",2010
Italia [+],198.0,59.948.497,,"0,43%",2010
Portugal [+],115.0,10.572.721,,"-0,01%",2010
Estados Unidos [+],31.0,309.348.193,,"0,84%",2010
Japón [+],338.0,127.594.000,,"0,03%",2010
China [+],140.0,1.340.910.000,,"0,48%",2010
Andorra [+],150.0,70.290,,"-4,50%",2010
Emiratos Árabes Unidos [+],71.0,6.965.000,,"2,82%",2010
Afganistán [+],43.0,28.190.000,,"2,94%",2010
Antigua y Barbuda [+],193.0,85.000,,"1,19%",2010
Albania [+],101.0,2.907.361,,"-0,39%",2010
Armenia [+],110.0,3.262.650,,"0,41%",2010
Angola [+],19.0,23.295.000,,"3,93%",2010
Argentina [+],15.0,40.788.000,,"1,63%",2010
Austria [+],100.0,8.375.164,,"0,28%",2010
Australia [+],3.0,22.172.000,,"1,40%",2010
Azerbaiyán [+],105.0,9.111.078,,"1,26%",2010
Bosnia y Herzegovina [+],75.0,3.843.183,,"-0,02%",2010
Barbados [+],651.0,280.000,,"0,72%",2010
Bangladés [+],994.0,147.575.000,,"1,13%",2010
Bélgica [+],360.0,11.000.638,,"1,48%",2010
Burkina Faso [+],59.0,16.176.000,,"2,97%",2010
Bulgaria [+],66.0,7.369.431,,"-0,71%",2010
Baréin [+],1.613,1.229.000,,"4,33%",2010
Burundi [+],337.0,9.376.000,,"4,78%",2010
Benin [+],85.0,9.797.000,,"3,03%",2010
Brunéi [+],67.0,387.000,,"1,84%",2010
Bolivia [+],9.0,10.182.000,,"1,66%",2010
Brasil [+],23.0,194.749.000,,"0,82%",2010
Bahamas [+],25.0,351.000,,"1,15%",2010
Bután [+],18.0,698.000,,"1,16%",2010
Botsuana [+],3.0,2.033.000,,"2,11%",2010
Bielorrusia [+],46.0,9.481.193,,"0,01%",2010
Belice [+],14.0,322.000,,"2,22%",2010
Canadá [+],3.0,34.005.902,,"1,12%",2010
República Democrática del Congo [+],28.0,65.939.000,,"3,28%",2010
República Centroafricana [+],7.0,4.449.000,,"-3,47%",2010
República del Congo [+],13.0,4.438.000,,"4,25%",2010
Suiza [+],191.0,7.870.134,,"1,08%",2010
Costa de Marfil [+],67.0,21.553.000,,"2,86%",2010
Chile [+],23.0,17.030.000,,"1,04%",2010
Camerún [+],41.0,19.668.000,,"2,90%",2010
Colombia [+],39.0,44.086.000,,"1,09%",2010
Costa Rica [+],89.0,4.554.000,,"1,90%",2010
Cuba [+],103.0,11.297.409,,"0,02%",2010
Cabo Verde [+],119.0,478.000,,"1,06%",2010
Chipre [+],91.0,839.751,,"2,52%",2010
Chequia [+],133.0,10.486.731,,"0,24%",2010
Yibuti [+],36.0,840.000,,"1,45%",2010
Dinamarca [+],130.0,5.560.628,,"0,47%",2010
Dominica [+],95.0,71.000,,0,2010
República Dominicana [+],195.0,9.479.000,,"1,06%",2010
Argelia [+],15.0,35.978.000,,"2,01%",2010
Ecuador [+],58.0,14.884.000,,"1,83%",2010
Estonia [+],29.0,1.329.660,,"-0,27%",2010
Egipto [+],79.0,78.700.000,,"2,34%",2010
Eritrea [+],24.0,2.945.186,,"1,98%",2010
Etiopía [+],69.0,78.824.000,,"2,60%",2010
Finlandia [+],16.0,5.375.276,,"0,45%",2010
Fiyi [+],46.0,848.000,,"0,59%",2010
Estados Federados de Micronesia [+],147.0,103.000,,0,2010
Gabón [+],6.0,1.610.000,,"3,80%",2010
Granada [+],309.0,105.000,,0,2010
Georgia [+],64.0,4.469.250,,"0,74%",2010
Ghana [+],107.0,25.475.000,,"2,46%",2010
Gambia [+],171.0,1.927.000,,"2,99%",2010
Guinea [+],44.0,10.876.000,,"2,67%",2010
Guinea Ecuatorial [+],34.0,951.000,,"4,62%",2010
Grecia [+],84.0,11.123.392,,"0,04%",2010
Guatemala [+],133.0,14.500.000,,"2,00%",2010
Guinea-Bisáu [+],40.0,1.460.000,,"0,76%",2010
Guyana [+],4.0,753.000,,"0,27%",2010
Hong Kong [+],6.411,7.052.000,,"0,80%",2010
Honduras [+],74.0,8.366.000,,"2,15%",2010
