Países,Tasa de desempleo,Tasa de desempleo.1,Var.,Var. Año,Mes
España [+],"18,9%",,020,410,Diciembre 2009
Alemania [+],"7,2%",,0,010,Diciembre 2009
Reino Unido [+],"7,7%",,-010,120,Diciembre 2009
Francia [+],"9,5%",,-010,150,Diciembre 2009
Italia [+],"8,5%",,020,160,Diciembre 2009
Portugal [+],"11,9%",,010,210,Diciembre 2009
Zona Euro [+],"10,0%",,0,170,Diciembre 2009
Estados Unidos [+],"9,9%",,0,260,Diciembre 2009
Japón [+],"5,2%",,0,080,Diciembre 2009
Argentina [+],"8,4%",,-070,110,Diciembre 2009
Austria [+],"5,4%",,-070,040,Diciembre 2009
Australia [+],"5,5%",,-007,092,Diciembre 2009
Bélgica [+],"8,4%",,030,150,Diciembre 2009
Bulgaria [+],"9,5%",,050,420,Diciembre 2009
Canadá [+],"8,6%",,0,160,Diciembre 2009
Chile [+],"8,6%",,-049,114,Diciembre 2009
Colombia [+],"11,3%",,-007,054,Diciembre 2009
Chipre [+],"6,5%",,0,280,Diciembre 2009
Chequia [+],"7,4%",,0,260,Diciembre 2009
Dinamarca [+],"7,5%",,020,330,Diciembre 2009
Estonia [+],"16,9%",,150,760,Diciembre 2009
Finlandia [+],"8,5%",,-090,180,Diciembre 2009
Grecia [+],"10,2%",,-080,160,Diciembre 2009
Croacia [+],"10,1%",,010,200,Diciembre 2009
Hungría [+],"10,4%",,-010,200,Diciembre 2009
Irlanda [+],"13,8%",,-010,480,Diciembre 2009
Islandia [+],"8,5%",,010,300,Diciembre 2009
Lituania [+],"16,6%",,030,760,Diciembre 2009
Luxemburgo [+],"5,7%",,-010,120,Diciembre 2009
Letonia [+],"20,6%",,020,910,Diciembre 2009
Macedonia del Norte [+],"32,3%",,-010,-030,Diciembre 2009
Malta [+],"7,3%",,020,120,Diciembre 2009
México [+],"4,7%",,-049,069,Diciembre 2009
Países Bajos [+],"6,1%",,020,130,Diciembre 2009
Noruega [+],"3,6%",,-030,010,Diciembre 2009
Polonia [+],"9,1%",,040,210,Diciembre 2009
Rumanía [+],"9,1%",,040,330,Diciembre 2009
Suecia [+],"9,1%",,030,220,Diciembre 2009
Eslovenia [+],"6,4%",,0,210,Diciembre 2009
Eslovaquia [+],"14,2%",,040,510,Diciembre 2009
Türkiye [+],"12,0%",,-020,0,Diciembre 2009
Uruguay [+],"6,8%",,-044,-037,Diciembre 2009
Venezuela [+],"6,6%",,-090,050,Diciembre 2009
Sudáfrica [+],"24,1%",,0,260,Diciembre 2009
< Tasa de desempleo 2008Tasa de desempleo 2010 >,< Tasa de desempleo 2008Tasa de desempleo 2010 >,< Tasa de desempleo 2008Tasa de desempleo 2010 >,< Tasa de desempleo 2008Tasa de desempleo 2010 >,< Tasa de desempleo 2008Tasa de desempleo 2010 >,< Tasa de desempleo 2008Tasa de desempleo 2010 >
España [+],"20,4%",,020,150,Diciembre 2010
Alemania [+],"6,1%",,-010,-110,Diciembre 2010
Reino Unido [+],"7,9%",,0,020,Diciembre 2010
Francia [+],"9,2%",,0,-030,Diciembre 2010
Italia [+],"8,2%",,-010,-030,Diciembre 2010
Portugal [+],"12,8%",,0,090,Diciembre 2010
Zona Euro [+],"10,1%",,0,010,Diciembre 2010
Estados Unidos [+],"9,3%",,-050,-060,Diciembre 2010
Japón [+],"4,9%",,-010,-030,Diciembre 2010
Argentina [+],"7,3%",,-020,-110,Diciembre 2010
Austria [+],"4,8%",,0,-060,Diciembre 2010
Australia [+],"4,9%",,-023,-061,Diciembre 2010
Bélgica [+],"7,7%",,-020,-070,Diciembre 2010
Bulgaria [+],"12,6%",,010,310,Diciembre 2010
Canadá [+],"7,8%",,-010,-080,Diciembre 2010
Suiza [+],"4,4%",,0,,Diciembre 2010
Chile [+],"7,4%",,023,-118,Diciembre 2010
Colombia [+],"11,2%",,029,-009,Diciembre 2010
Chipre [+],"6,0%",,0,-050,Diciembre 2010
Chequia [+],"6,8%",,-020,-060,Diciembre 2010
Dinamarca [+],"8,2%",,070,070,Diciembre 2010
Estonia [+],"14,2%",,070,-270,Diciembre 2010
Finlandia [+],"8,6%",,050,010,Diciembre 2010
Grecia [+],"14,9%",,060,470,Diciembre 2010
Croacia [+],"12,8%",,010,270,Diciembre 2010
Hungría [+],"10,9%",,010,050,Diciembre 2010
Irlanda [+],"15,6%",,-010,180,Diciembre 2010
Islandia [+],"8,8%",,-010,030,Diciembre 2010
Lituania [+],"17,4%",,-020,080,Diciembre 2010
Luxemburgo [+],"5,9%",,0,020,Diciembre 2010
Letonia [+],"17,5%",,-060,-310,Diciembre 2010
Macedonia del Norte [+],"31,2%",,-010,-110,Diciembre 2010
Malta [+],"6,8%",,-010,-050,Diciembre 2010
México [+],"4,9%",,-030,020,Diciembre 2010
Países Bajos [+],"5,9%",,0,-020,Diciembre 2010
Noruega [+],"4,3%",,070,070,Diciembre 2010
Polonia [+],"9,8%",,0,070,Diciembre 2010
Rumanía [+],"8,7%",,-010,-040,Diciembre 2010
Suecia [+],"8,2%",,010,-090,Diciembre 2010
Eslovenia [+],"8,0%",,030,160,Diciembre 2010
Eslovaquia [+],"13,7%",,-010,-050,Diciembre 2010
Türkiye [+],"10,1%",,-010,-190,Diciembre 2010
Uruguay [+],"5,7%",,-080,-115,Diciembre 2010
Venezuela [+],"6,5%",,-120,-010,Diciembre 2010
Sudáfrica [+],"23,9%",,0,-020,Diciembre 2010
< Tasa de desempleo 2009Tasa de desempleo 2011 >,< Tasa de desempleo 2009Tasa de desempleo 2011 >,< Tasa de desempleo 2009Tasa de desempleo 2011 >,< Tasa de desempleo 2009Tasa de desempleo 2011 >,< Tasa de desempleo 2009Tasa de desempleo 2011 >,< Tasa de desempleo 2009Tasa de desempleo 2011 >
España [+],"22,9%",,030,250,Diciembre 2011
Alemania [+],"5,2%",,0,-090,Diciembre 2011
Reino Unido [+],"8,3%",,-010,040,Diciembre 2011
Francia [+],"9,4%",,0,020,Diciembre 2011
Italia [+],"9,7%",,030,150,Diciembre 2011
Portugal [+],"15,2%",,050,240,Diciembre 2011
Zona Euro [+],"10,7%",,010,060,Diciembre 2011
Estados Unidos [+],"8,5%",,-010,-080,Diciembre 2011
Japón [+],"4,5%",,0,-040,Diciembre 2011
Argentina [+],"6,7%",,-050,-060,Diciembre 2011
Austria [+],"5,1%",,-020,030,Diciembre 2011
Australia [+],"5,2%",,-003,032,Diciembre 2011
Bélgica [+],"7,1%",,-010,-060,Diciembre 2011
Bulgaria [+],"12,9%",,040,030,Diciembre 2011
Canadá [+],"7,5%",,-010,-030,Diciembre 2011
Suiza [+],"4,6%",,0,020,Diciembre 2011
Chile [+],"6,9%",,004,-059,Diciembre 2011
Colombia [+],"10,1%",,057,-116,Diciembre 2011
Chipre [+],"9,6%",,0,360,Diciembre 2011
Chequia [+],"6,5%",,-010,-030,Diciembre 2011
Dinamarca [+],"7,9%",,-020,-030,Diciembre 2011
Estonia [+],"10,8%",,-040,-340,Diciembre 2011
Finlandia [+],"8,1%",,080,-050,Diciembre 2011
Grecia [+],"21,3%",,050,640,Diciembre 2011
Croacia [+],"14,2%",,030,140,Diciembre 2011
Hungría [+],"10,9%",,050,0,Diciembre 2011
Irlanda [+],"16,1%",,030,050,Diciembre 2011
Islandia [+],"7,6%",,-010,-120,Diciembre 2011
Lituania [+],"13,5%",,0,-390,Diciembre 2011
Luxemburgo [+],"5,9%",,020,0,Diciembre 2011
Letonia [+],"15,3%",,0,-220,Diciembre 2011
Macedonia del Norte [+],"31,1%",,0,-010,Diciembre 2011
Malta [+],"6,5%",,010,-030,Diciembre 2011
México [+],"4,5%",,-047,-042,Diciembre 2011
Países Bajos [+],"6,5%",,-010,060,Diciembre 2011
Noruega [+],"3,6%",,0,-070,Diciembre 2011
Polonia [+],"10,2%",,0,040,Diciembre 2011
Rumanía [+],"9,4%",,010,070,Diciembre 2011
Suecia [+],"7,9%",,010,-030,Diciembre 2011
Eslovenia [+],"8,6%",,-020,060,Diciembre 2011
Eslovaquia [+],"13,9%",,010,020,Diciembre 2011
Türkiye [+],"8,5%",,010,-160,Diciembre 2011
Uruguay [+],"5,6%",,-025,-011,Diciembre 2011
Venezuela [+],"6,5%",,030,0,Diciembre 2011
Sudáfrica [+],"23,8%",,0,-010,Diciembre 2011
< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >,< Tasa de desempleo 2010Tasa de desempleo 2012 >
