Países,Fecha,PIB anual,PIB anual.1,PIB anual.2,PIB anual.3,Var. PIB (%),Var. PIB (%).1
España [+],2009,1.072.990 M€,,1.496.588 M$,,"-3,8%",
Alemania [+],2009,2.493.970 M€,,3.478.546 M$,,"-5,5%",
Reino Unido [+],2009,1.738.067 M€,,2.429.285 M$,,"-4,1%",
Francia [+],2009,1.935.840 M€,,2.700.076 M$,,"-2,8%",
Italia [+],2009,1.584.107 M€,,2.209.484 M$,,"-5,3%",
Portugal [+],2009,175.416 M€,,244.668 M$,,"-3,1%",
Zona Euro [+],2009,9.275.870 M€,,13.083.078 M$,,"-4,4%",
Estados Unidos [+],2009,10.391.432 M€,,14.478.100 M$,,"-2,6%",
Japón [+],2009,3.614.690 M€,,5.336.766 M$,,"-5,5%",
China [+],2009,3.715.365 M€,,5.189.577 M$,,"9,4%",
Andorra [+],2009,2.645 M€,,3.675 M$,,"-5,3%",
Emiratos Árabes Unidos [+],2009,181.980 M€,,253.547 M$,,"-5,2%",
Afganistán [+],2009,8.660 M€,,12.066 M$,,"20,6%",
Antigua y Barbuda [+],2009,996 M€,,1.387 M$,,"-12,0%",
Albania [+],2009,8.872 M€,,12.336 M$,,"2,7%",
Armenia [+],2009,6.207 M€,,8.648 M$,,"-14,2%",
Angola [+],2009,58.643 M€,,81.705 M$,,"2,0%",
Argentina [+],2009,240.178 M€,,336.359 M$,,"-5,9%",
Austria [+],2009,286.274 M€,,399.290 M$,,"-3,6%",
Australia [+],2009,720.766 M€,,1.020.563 M$,,"2,2%",
Azerbaiyán [+],2009,31.794 M€,,44.297 M$,,"9,3%",
Bosnia y Herzegovina [+],2009,12.679 M€,,17.666 M$,,"-3,0%",
Barbados [+],2009,3.841 M€,,5.351 M$,,"-4,8%",
Bangladés [+],2009,88.109 M€,,122.760 M$,,"5,0%",
Bélgica [+],2009,347.735 M€,,485.015 M$,,"-1,9%",
Burkina Faso [+],2009,6.775 M€,,9.440 M$,,"3,0%",
Bulgaria [+],2009,37.417 M€,,52.024 M$,,"-3,3%",
Baréin [+],2009,17.163 M€,,23.913 M$,,"2,5%",
Burundi [+],2009,1.274 M€,,1.775 M$,,"3,8%",
Benin [+],2009,6.982 M€,,9.728 M$,,"2,3%",
Brunéi [+],2009,8.535 M€,,11.892 M$,,"-1,9%",
Bolivia [+],2009,14.406 M€,,20.071 M$,,"3,0%",
Brasil [+],2009,1.198.049 M€,,1.666.996 M$,,"-0,1%",
Bahamas [+],2009,7.164 M€,,9.982 M$,,"-4,2%",
Bután [+],2009,914 M€,,1.273 M$,,"6,1%",
Botsuana [+],2009,7.262 M€,,10.118 M$,,"-14,1%",
Bielorrusia [+],2009,36.501 M€,,50.855 M$,,"0,2%",
Belice [+],2009,1.212 M€,,1.688 M$,,"-0,4%",
Canadá [+],2009,987.971 M€,,1.376.509 M$,,"-2,9%",
República Democrática del Congo [+],2009,13.369 M€,,18.626 M$,,"0,6%",
República Centroafricana [+],2009,1.482 M€,,2.065 M$,,"2,8%",
República del Congo [+],2009,6.971 M€,,9.713 M$,,"11,6%",
Suiza [+],2009,406.171 M€,,563.638 M$,,"-1,9%",
Costa de Marfil [+],2009,24.183 M€,,33.693 M$,,"3,3%",
Chile [+],2009,123.303 M€,,171.413 M$,,"-1,1%",
Camerún [+],2009,20.027 M€,,27.933 M$,,"2,6%",
Colombia [+],2009,166.852 M€,,232.469 M$,,"1,1%",
Costa Rica [+],2009,22.068 M€,,30.746 M$,,"-0,9%",
Cuba [+],2009,41.212 M€,,57.481 M$,,"1,5%",
Cabo Verde [+],2009,1.329 M€,,1.852 M$,,"-1,5%",
Chipre [+],2009,18.676 M€,,26.048 M$,,"-2,0%",
Chequia [+],2009,149.253 M€,,206.972 M$,,"-4,8%",
Yibuti [+],2009,1.023 M€,,1.426 M$,,"1,6%",
Dinamarca [+],2009,232.270 M€,,322.621 M$,,"-5,0%",
Dominica [+],2009,351 M€,,489 M$,,"-1,2%",
República Dominicana [+],2009,34.653 M€,,48.281 M$,,"1,0%",
Argelia [+],2009,107.888 M€,,150.317 M$,,"1,2%",
Ecuador [+],2009,43.132 M€,,60.095 M$,,"1,1%",
Estonia [+],2009,14.133 M€,,19.643 M$,,"-14,6%",
Egipto [+],2009,142.339 M€,,198.316 M$,,"4,7%",
Eritrea [+],2009,931 M€,,1.297 M$,,"12,2%",
Etiopía [+],2009,20.579 M€,,28.672 M$,,"10,0%",
Finlandia [+],2009,181.735 M€,,253.481 M$,,"-8,1%",
Fiyi [+],2009,2.229 M€,,3.106 M$,,"-1,4%",
Estados Federados de Micronesia [+],2009,199 M€,,277 M$,,"1,1%",
Gabón [+],2009,8.748 M€,,12.188 M$,,"-1,2%",
Granada [+],2009,553 M€,,771 M$,,"-6,6%",
Georgia [+],2009,7.945 M€,,11.069 M$,,"-3,7%",
Ghana [+],2009,26.647 M€,,37.127 M$,,"5,7%",
Gambia [+],2009,1.041 M€,,1.450 M$,,"6,7%",
Guinea [+],2009,4.847 M€,,6.753 M$,,"-1,5%",
Guinea Ecuatorial [+],2009,10.818 M€,,15.072 M$,,"1,3%",
Grecia [+],2009,234.323 M€,,326.829 M$,,"-4,1%",
