Países,Fecha,PIB Per Capita,PIB Per Capita.1,PIB Per Capita.2,PIB Per Capita.3,Var. anual PIB Per Capita,Var. anual PIB Per Capita.1,Var. anual PIB Per Capita.2,Var. anual PIB Per Capita.3
España [+],2009,23.140 €,,32.159 $,,"-4,3%",,"-9,1%",
Alemania [+],2009,30.990 €,,43.174 $,,"-3,3%",,"-8,4%",
Reino Unido [+],2009,27.920 €,,39.159 $,,"-13,5%",,"-18,7%",
Francia [+],2009,30.040 €,,41.943 $,,"-3,2%",,"-8,3%",
Italia [+],2009,26.600 €,,37.143 $,,"-4,2%",,"-9,3%",
Portugal [+],2009,16.600 €,,23.126 $,,"-2,1%",,"-7,3%",
Zona Euro [+],2009,28.350 €,,39.539 $,,"-4,6%",,"-8,7%",
Estados Unidos [+],2009,33.807 €,,47.102 $,,"2,6%",,"-2,8%",
Japón [+],2009,28.300 €,,41.840 $,,"10,1%",,"3,5%",
China [+],2009,2.784 €,,3.879 $,,"16,8%",,"10,6%",
Andorra [+],2009,35.935 €,,49.932 $,,"8,8%",,"3,3%",
Emiratos Árabes Unidos [+],2009,26.864 €,,37.428 $,,"-18,6%",,"-22,9%",
Afganistán [+],2009,316 €,,441 $,,"19,4%",,"13,1%",
Antigua y Barbuda [+],2009,11.900 €,,16.580 $,,"-7,1%",,"-12,0%",
Albania [+],2009,3.030 €,,4.114 $,,"-1,3%",,"-5,9%",
Armenia [+],2009,2.044 €,,2.847 $,,"-21,0%",,"-25,1%",
Angola [+],2009,2.616 €,,3.645 $,,"-16,0%",,"-20,4%",
Argentina [+],2009,5.984 €,,8.338 $,,"-3,8%",,"-8,8%",
Austria [+],2009,34.320 €,,47.816 $,,"-2,1%",,"-7,3%",
Australia [+],2009,32.963 €,,45.927 $,,"-1,7%",,"-6,9%",
Azerbaiyán [+],2009,3.563 €,,4.965 $,,"-5,8%",,"-10,8%",
Bosnia y Herzegovina [+],2009,3.394 €,,4.728 $,,"-2,4%",,"-7,5%",
Barbados [+],2009,13.791 €,,19.214 $,,"-1,5%",,"-6,6%",
Bangladés [+],2009,604 €,,841 $,,"16,7%",,"10,6%",
Bélgica [+],2009,32.210 €,,45.056 $,,"-1,9%",,"-7,1%",
Burkina Faso [+],2009,431 €,,601 $,,"2,4%",,"-3,0%",
Bulgaria [+],2009,4.930 €,,6.892 $,,"0,8%",,"-4,3%",
Baréin [+],2009,14.565 €,,20.292 $,,"-11,8%",,"-16,5%",
Burundi [+],2009,142 €,,198 $,,"10,5%",,"4,7%",
Benin [+],2009,734 €,,1.023 $,,"1,8%",,"-3,5%",
Brunéi [+],2009,22.456 €,,31.287 $,,"-22,4%",,"-26,4%",
Bolivia [+],2009,1.438 €,,2.004 $,,"9,2%",,"3,5%",
Brasil [+],2009,6.202 €,,8.641 $,,"2,9%",,"-2,5%",
Bahamas [+],2009,20.666 €,,28.793 $,,"-1,3%",,"-6,5%",
Bután [+],2009,1.323 €,,1.844 $,,"-2,3%",,"-7,4%",
Botsuana [+],2009,3.648 €,,5.083 $,,"-2,5%",,"-7,6%",
Bielorrusia [+],2009,3.840 €,,5.351 $,,"-14,3%",,"-18,8%",
Belice [+],2009,3.845 €,,5.357 $,,"-0,2%",,"-5,5%",
Canadá [+],2009,29.420 €,,40.989 $,,"-7,5%",,"-12,4%",
República Democrática del Congo [+],2009,209 €,,292 $,,"-16,0%",,"-20,4%",
República Centroafricana [+],2009,322 €,,448 $,,"4,5%",,"-1,0%",
República del Congo [+],2009,1.637 €,,2.281 $,,"-15,5%",,"-19,9%",
