Country,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,Year
Spain,569535,53.1,12252,2009
Germany,1804696,72.4,22062,2009
United Kingdom,1101852,63.2,17627,2009
France,1627182,84.1,25166,2009
Italy,1839806,116.1,30823,2009
Portugal,153624,87.6,14529,2009
USA,9047958,87.07,29494,2009
Japan,6621157,172.86,51910,2009
China,1262659,33.99,946,2009
Andorra,822,33.51,11173,2009
United Arab Emirates,38463,21.14,5678,2009
Afganistán,1407,16.25,51,2009
Antigua y Barbuda,887,89.15,10563,2009
Albania,5158,59.67,1767,2009
Armenia,2520,40.6,776,2009
Angola,28411,48.45,1268,2009
Argentina,133052,55.4,3315,2009
Austria,231173,80.8,27680,2009
Australia,119403,16.57,5461,2009
Azerbaiyán,1503,4.73,167,2009
Bosnia y Herzegovina,4611,36.37,1200,2009
Barbados,3218,83.47,11574,2009
Bangladés,29085,33.01,199,2009
Belgium,347318,99.9,32041,2009
Burkina Faso,1753,25.87,112,2009
Bulgaria,5112,13.7,689,2009
Bahrain,3516,20.49,2985,2009
Burundi,327,25.69,37,2009
Benin,1309,18.75,138,2009
Brunéi,95,1.11,249,2009
Bolivia,4915,34.12,491,2009
Brazil,775157,64.7,4013,2009
Bahamas,2214,30.09,6381,2009
Bután,558,61.04,808,2009
Botsuana,1704,22.43,856,2009
Bielorrusia,11881,32.55,1253,2009
Belice,845,69.73,2682,2009
Canada,808191,81.8,24032,2009
República Democrática del Congo,12248,91.62,192,2009
República Centroafricana,301,20.3,65,2009
República del Congo,5844,83.84,1373,2009
Switzerland,171302,42.37,22002,2009
Costa de Marfil,11239,46.48,536,2009
Chile,7207,5.85,428,2009
Camerún,2254,11.26,118,2009
Colombia,59043,35.39,1354,2009
Costa Rica,5743,26.03,1285,2009
Cabo Verde,781,58.79,1652,2009
Cyprus,10765,57.6,13142,2009
Czech Republic,49824,33.4,4762,2009
Yibuti,302,29.53,365,2009
Denmark,100049,43.0,18076,2009
Dominica,220,62.51,3102,2009
República Dominicana,12739,36.76,1358,2009
Argelia,9626,8.92,273,2009
Ecuador,8483,19.67,580,2009
Estonia,1127,8.0,845,2009
Egipto,98854,69.45,1285,2009
Eritrea,1928,207.05,667,2009
Etiopía,6165,29.96,80,2009
Finland,80200,44.1,14987,2009
Fiyi,1148,51.5,1362,2009
Estados Federados de Micronesia,62,31.12,599,2009
Gabón,2274,25.99,1466,2009
Granada,504,91.09,4802,2009
Georgia,2673,33.65,603,2009
Ghana,6766,25.39,272,2009
Gambia,405,38.87,216,2009
Guinea,2973,61.33,281,2009
Guinea Ecuatorial,469,4.34,516,2009
Greece,301062,128.5,27076,2009
Guatemala,6212,22.78,437,2009
Guinea-Bisáu,946,148.26,653,2009
Guyana,975,52.32,1298,2009
Hong Kong,1037,0.66,148,2009
Honduras,2491,23.79,304,2009
Croacia,22099,47.9,5136,2009
Haití,1616,19.41,167,2009
Hungría,76528,78.2,7642,2009
Indonesia,109975,26.48,469,2009
EIRE,104703,61.8,23015,2009
Israel,110995,72.57,14835,2009
India,700526,72.74,572,2009
Irak,70025,87.38,2322,2009
Irán,41971,11.49,573,2009
Iceland,7322,87.9,23053,2009
Jamaica,12618,138.34,4698,2009
Jordania,10209,51.79,1506,2009
Kenia,10930,35.96,290,2009
Kirguistán,1969,58.49,368,2009
Camboya,2123,23.11,149,2009
Kiribati,10,10.28,101,2009
Comoras,206,31.77,321,2009
San Cristóbal y Nieves,717,129.07,15251,2009
Korea,203097,28.79,4119,2009
Kuwait,5061,6.65,1822,2009
Kazajistán,8464,10.23,526,2009
Laos,2392,51.82,384,2009
Lebanon,36714,144.5,7416,2009
Santa Lucía,512,50.24,3014,2009
Sri Lanka,25977,72.75,1291,2009
Liberia,1659,132.16,442,2009
Lesoto,499,35.87,252,2009
Lithuania,7529,27.9,2396,2009
Luxemburgo,5969,15.3,11889,2009
Letonia,6957,38.0,3281,2009
Libia,1248,2.76,196,2009
Marruecos,30755,42.62,968,2009
Moldavia,1273,32.61,357,2009
Montenegro,1308,43.87,2113,2009
Madagascar,2406,34.86,122,2009
Islas Marshall,45,41.2,856,2009
Macedonia del Norte,1601,23.73,780,2009
Malí,1608,18.81,104,2009
