Country,Tasa de desempleo,Year
Spain,18.9,2009
Germany,7.2,2009
United Kingdom,7.7,2009
France,9.5,2009
Italy,8.5,2009
Portugal,11.9,2009
Zona Euro,10.0,2009
USA,9.9,2009
Japan,5.2,2009
Argentina,8.4,2009
Austria,5.4,2009
Australia,5.5,2009
Belgium,8.4,2009
Bulgaria,9.5,2009
Canada,8.6,2009
Chile,8.6,2009
Colombia,11.3,2009
Cyprus,6.5,2009
Czech Republic,7.4,2009
Denmark,7.5,2009
Estonia,16.9,2009
Finland,8.5,2009
Greece,10.2,2009
Croacia,10.1,2009
Hungría,10.4,2009
EIRE,13.8,2009
Iceland,8.5,2009
Lithuania,16.6,2009
Luxemburgo,5.7,2009
Letonia,20.6,2009
Macedonia del Norte,32.3,2009
Malta,7.3,2009
México,4.7,2009
Netherlands,6.1,2009
Norway,3.6,2009
Poland,9.1,2009
Rumanía,9.1,2009
Sweden,9.1,2009
Eslovenia,6.4,2009
Eslovaquia,14.2,2009
Türkiye,12.0,2009
Uruguay,6.8,2009
Venezuela,6.6,2009
RSA,24.1,2009
Spain,20.4,2010
Germany,6.1,2010
United Kingdom,7.9,2010
France,9.2,2010
Italy,8.2,2010
Portugal,12.8,2010
Zona Euro,10.1,2010
USA,9.3,2010
Japan,4.9,2010
Argentina,7.3,2010
Austria,4.8,2010
Australia,4.9,2010
Belgium,7.7,2010
Bulgaria,12.6,2010
Canada,7.8,2010
Switzerland,4.4,2010
Chile,7.4,2010
Colombia,11.2,2010
Cyprus,6.0,2010
Czech Republic,6.8,2010
Denmark,8.2,2010
Estonia,14.2,2010
Finland,8.6,2010
Greece,14.9,2010
Croacia,12.8,2010
Hungría,10.9,2010
EIRE,15.6,2010
Iceland,8.8,2010
Lithuania,17.4,2010
Luxemburgo,5.9,2010
Letonia,17.5,2010
Macedonia del Norte,31.2,2010
Malta,6.8,2010
México,4.9,2010
Netherlands,5.9,2010
Norway,4.3,2010
Poland,9.8,2010
Rumanía,8.7,2010
Sweden,8.2,2010
Eslovenia,8.0,2010
Eslovaquia,13.7,2010
Türkiye,10.1,2010
Uruguay,5.7,2010
Venezuela,6.5,2010
RSA,23.9,2010
Spain,22.9,2011
Germany,5.2,2011
United Kingdom,8.3,2011
France,9.4,2011
Italy,9.7,2011
Portugal,15.2,2011
Zona Euro,10.7,2011
USA,8.5,2011
Japan,4.5,2011
Argentina,6.7,2011
Austria,5.1,2011
Australia,5.2,2011
Belgium,7.1,2011
Bulgaria,12.9,2011
Canada,7.5,2011
Switzerland,4.6,2011
Chile,6.9,2011
Colombia,10.1,2011
Cyprus,9.6,2011
Czech Republic,6.5,2011
Denmark,7.9,2011
Estonia,10.8,2011
Finland,8.1,2011
Greece,21.3,2011
Croacia,14.2,2011
Hungría,10.9,2011
EIRE,16.1,2011
Iceland,7.6,2011
Lithuania,13.5,2011
Luxemburgo,5.9,2011
Letonia,15.3,2011
Macedonia del Norte,31.1,2011
Malta,6.5,2011
México,4.5,2011
Netherlands,6.5,2011
Norway,3.6,2011
Poland,10.2,2011
Rumanía,9.4,2011
Sweden,7.9,2011
Eslovenia,8.6,2011
Eslovaquia,13.9,2011
Türkiye,8.5,2011
Uruguay,5.6,2011
Venezuela,6.5,2011
RSA,23.8,2011
