Country,Year,PIB anual (M€)
Spain,2009,1072990
Germany,2009,2493970
United Kingdom,2009,1738067
France,2009,1935840
Italy,2009,1584107
Portugal,2009,175416
Zona Euro,2009,9275870
USA,2009,10391432
Japan,2009,3614690
China,2009,3715365
Andorra,2009,2645
United Arab Emirates,2009,181980
Afganistán,2009,8660
Antigua y Barbuda,2009,996
Albania,2009,8872
Armenia,2009,6207
Angola,2009,58643
Argentina,2009,240178
Austria,2009,286274
Australia,2009,720766
Azerbaiyán,2009,31794
Bosnia y Herzegovina,2009,12679
Barbados,2009,3841
Bangladés,2009,88109
Belgium,2009,347735
Burkina Faso,2009,6775
Bulgaria,2009,37417
Bahrain,2009,17163
Burundi,2009,1274
Benin,2009,6982
Brunéi,2009,8535
Bolivia,2009,14406
Brazil,2009,1198049
Bahamas,2009,7164
Bután,2009,914
Botsuana,2009,7262
Bielorrusia,2009,36501
Belice,2009,1212
Canada,2009,987971
República Democrática del Congo,2009,13369
República Centroafricana,2009,1482
República del Congo,2009,6971
Switzerland,2009,406171
Costa de Marfil,2009,24183
Chile,2009,123303
Camerún,2009,20027
Colombia,2009,166852
Costa Rica,2009,22068
Cuba,2009,41212
Cabo Verde,2009,1329
Cyprus,2009,18676
Czech Republic,2009,149253
Yibuti,2009,1023
Denmark,2009,232270
Dominica,2009,351
República Dominicana,2009,34653
Argelia,2009,107888
Ecuador,2009,43132
Estonia,2009,14133
Egipto,2009,142339
Eritrea,2009,931
Etiopía,2009,20579
Finland,2009,181735
Fiyi,2009,2229
Estados Federados de Micronesia,2009,199
Gabón,2009,8748
Granada,2009,553
Georgia,2009,7945
Ghana,2009,26647
Gambia,2009,1041
Guinea,2009,4847
Guinea Ecuatorial,2009,10818
Greece,2009,234323
Guatemala,2009,27272
Guinea-Bisáu,2009,638
Guyana,2009,1863
Hong Kong,2009,153630
Honduras,2009,10469
Croacia,2009,45861
Haití,2009,8324
Hungría,2009,94417
Indonesia,2009,415266
EIRE,2009,169408
Israel,2009,152958
India,2009,963123
Irak,2009,80143
Irán,2009,365396
Iceland,2009,9461
Jamaica,2009,8915
Jordania,2009,19710
Kenia,2009,30394
Kirguistán,2009,3366
Camboya,2009,9186
Kiribati,2009,102
Comoras,2009,649
San Cristóbal y Nieves,2009,556
Corea del Norte,2009,8629
Korea,2009,705431
Kuwait,2009,76074
Kazajistán,2009,82762
Laos,2009,4616
Lebanon,2009,25408
Santa Lucía,2009,1005
Liechtenstein,2009,3246
Sri Lanka,2009,35707
Liberia,2009,1267
Lesoto,2009,1390
Lithuania,2009,26974
Luxemburgo,2009,39051
Letonia,2009,18407
Libia,2009,43615
Marruecos,2009,72158
Mónaco,2009,3925
Moldavia,2009,3903
Montenegro,2009,2982
Madagascar,2009,6902
Islas Marshall,2009,108
Macedonia del Norte,2009,6767
Malí,2009,8548
Myanmar,2009,22017
Mongolia,2009,3290
Mauritania,2009,3391
Malta,2009,6288
Mauricio,2009,6641
Maldivas,2009,1683
Malaui,2009,6261
México,2009,677140
Malasia,2009,152050
Mozambique,2009,8802
Namibia,2009,6399
Níger,2009,5257
Nigeria,2009,305700
Nicaragua,2009,5955
Netherlands,2009,630173
Norway,2009,285073
Nepal,2009,10524
Nauru,2009,34
Nueva Zelanda,2009,87566
Omán,2009,39801
Panamá,2009,19947
Perú,2009,87870
Papúa Nueva Guinea,2009,8339
Filipinas,2009,126416
Pakistán,2009,134270
Poland,2009,317877
Estado de Palestina,2009,5804
Palaos,2009,132
Paraguay,2009,16045
Catar,2009,63302
Rumanía,2009,125220
Serbia,2009,33776
Rusia,2009,938748
Ruanda,2009,4023
Saudi Arabia,2009,307980
Islas Salomón,2009,578
Seychelles,2009,608
Sudán,2009,39341
Sweden,2009,313034
Singapore,2009,139349
Eslovenia,2009,35830
Eslovaquia,2009,64055
Sierra Leona,2009,2724
San Marino,2009,1480
Senegal,2009,11576
Somalia,2009,2114
Surinam,2009,2979
Sudán del Sur,2009,8769
Santo Tomé y Príncipe,2009,144
El Salvador,2009,12634
Siria,2009,38714
Eswatini,2009,2506
Chad,2009,8831
Togo,2009,3386
Thailand,2009,202194
Tayikistán,2009,3572
Timor Oriental,2009,522
Turkmenistán,2009,13519
Túnez,2009,32724
Tonga,2009,224
Türkiye,2009,468545
Trinidad y Tobago,2009,14010
Tuvalu,2009,20
