Country,Población,Year
Spain,46486621,2009
Germany,81802257,2009
United Kingdom,62510197,2009
France,64658856,2009
Italy,59690316,2009
Portugal,10573479,2009
USA,306771529,2009
Japan,127551000,2009
China,1334500000,2009
Andorra,73600,2009
United Arab Emirates,6774000,2009
Afganistán,27385000,2009
Antigua y Barbuda,84000,2009
Albania,2918674,2009
Armenia,3249482,2009
Angola,22415000,2009
Argentina,40134000,2009
Austria,8351643,2009
Australia,21866000,2009
Azerbaiyán,8997586,2009
Bosnia y Herzegovina,3844046,2009
Barbados,278000,2009
Bangladés,145925000,2009
Belgium,10839905,2009
Burkina Faso,15710000,2009
Bulgaria,7421766,2009
Bahrain,1178000,2009
Burundi,8948000,2009
Benin,9509000,2009
Brunéi,380000,2009
Bolivia,10016000,2009
Brazil,193174000,2009
Bahamas,347000,2009
Bután,690000,2009
Botsuana,1991000,2009
Bielorrusia,9480178,2009
Belice,315000,2009
Canada,33630069,2009
República Democrática del Congo,63845000,2009
República Centroafricana,4609000,2009
República del Congo,4257000,2009
Switzerland,7785806,2009
Costa de Marfil,20954000,2009
Chile,16855000,2009
Camerún,19114000,2009
Colombia,43609000,2009
Costa Rica,4469000,2009
Cuba,11294719,2009
Cabo Verde,473000,2009
Cyprus,819140,2009
Czech Republic,10462088,2009
Yibuti,828000,2009
Denmark,5534738,2009
Dominica,71000,2009
República Dominicana,9380000,2009
Argelia,35268000,2009
Ecuador,14616000,2009
Estonia,1333290,2009
Egipto,76900000,2009
Eritrea,2887885,2009
Etiopía,76826000,2009
Finland,5351427,2009
Fiyi,843000,2009
Estados Federados de Micronesia,103000,2009
Gabón,1551000,2009
Granada,105000,2009
Georgia,4436391,2009
Ghana,24863000,2009
Gambia,1871000,2009
Guinea,10593000,2009
Guinea Ecuatorial,909000,2009
Greece,11119289,2009
Guatemala,14216000,2009
Guinea-Bisáu,1449000,2009
Guyana,751000,2009
Hong Kong,6996000,2009
Honduras,8190000,2009
Croacia,4302847,2009
Haití,9689581,2009
Hungría,10014324,2009
Indonesia,234300000,2009
EIRE,4549428,2009
Israel,7482000,2009
India,1225525000,2009
Irak,30163000,2009
Irán,73196000,2009
Iceland,317630,2009
Jamaica,2686000,2009
Jordania,6780000,2009
Kenia,37700000,2009
Kirguistán,5348000,2009
Camboya,14277000,2009
Kiribati,101000,2009
Comoras,642000,2009
San Cristóbal y Nieves,47000,2009
Corea del Norte,24878332,2009
Korea,49308000,2009
Kuwait,2778000,2009
Kazajistán,16093000,2009
Laos,6230000,2009
Lebanon,4951000,2009
Santa Lucía,170000,2009
Liechtenstein,35894,2009
Sri Lanka,20124000,2009
Liberia,3754000,2009
Lesoto,1981000,2009
Lithuania,3141976,2009
Luxemburgo,502066,2009
Letonia,2120504,2009
Libia,6367000,2009
Marruecos,31786000,2009
Mónaco,32364,2009
Moldavia,3563695,2009
Montenegro,619001,2009
Madagascar,19670000,2009
Islas Marshall,52000,2009
Macedonia del Norte,2052722,2009
Malí,15436000,2009
Myanmar,48745000,2009
Mongolia,2716000,2009
Mauritania,3202000,2009
Malta,414027,2009
Mauricio,1247000,2009
Maldivas,315000,2009
Malaui,15274000,2009
México,113030000,2009
Malasia,28082000,2009
Mozambique,22895000,2009
Namibia,2062000,2009
Níger,15843000,2009
Nigeria,161906000,2009
Nicaragua,5742000,2009
